id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
21567,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21568,UTPL_A0807,,House Wren,,,,,,,,78,784,1
21569,UTPL_A0787,,Palm Tanager,,,,,,,,73,766,8
21570,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21571,UTPL_A0289,,Masked Water-Tyrant,,,,,,,,81,277,8
21572,UTPL_A0555,,Long-billed Hermit,,BT,,,,,,77,539,8
21573,UTPL_A0823,,Ecuadorian Thrush,,BT,,,,,,80,800,8
21574,UTPL_A0341,,Long-billed Starthroat,,,,,,,,77,324,1
21575,UTPL_A0293,,Magnificent Frigatebird,,,,,,,,29,281,8
21576,UTPL_A0307,,Masked Yellowthroat,,BT,,,,,,48,292,8
21577,UTPL_A0394,,White-tipped Dove,,,,,,,,18,368,1
21578,UTPL_A0364,,White-edged Oriole,,BT,,,,,,37,342,1
21579,UTPL_A0276,,Thick-billed Euphonia,,,,,,,,30,265,1
21580,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21581,UTPL_A0281,,Tawny-crowned Pygmy-Tyrant,,,,,,,,81,269,1
21582,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21583,UTPL_A0365,,Yellow-tailed Oriole,,,,,,,,37,343,8
21584,UTPL_A0543,,Brown Pelican,,,,,,,,50,530,8
21585,UTPL_A0420,,Boat-billed Flycatcher,,,,,,,,81,394,1
21586,UTPL_A0426,,Black-cheeked Woodpecker,,,,,,,,55,399,8
21587,UTPL_A0527,,Osprey,,,MB,,,,,47,513,8
21588,UTPL_A0462,,Streaked Flycatcher,,,MA - C,,,,,81,439,1
21589,UTPL_A0473,Brasileuterus fraseri,Gray-and-gold Warbler,,BT,,,,,,48,450,4
21590,UTPL_A0444,Scaphidura oryzivora,Giant Cowbird,,,,,,,,37,419,8
21591,UTPL_A0823,,Ecuadorian Thrush,,BT,,,,,,80,800,8
21592,UTPL_A0838,,Red-eyed Vireo,,,MB - C / MA - C,,,,,83,818,1
21593,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21594,UTPL_A0840,,Blue-black Grassquit,,,,,,,,73,820,1
21595,UTPL_A0787,,Palm Tanager,,,,,,,,73,766,8
21596,UTPL_A0786,,Blue-gray Tanager,,,,,,,,73,765,1
21597,UTPL_A0798,,Common Tody-Flycatcher,,,,,,,,81,775,8
21598,UTPL_A0560,,Neotropic Cormorant,,,,,,,,53,544,8
21599,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21600,UTPL_A0494,,Yellow-crowned Night-Heron,,,,,,,,8,477,8
21601,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21602,UTPL_A0273,,White Ibis,,,,,,,,74,262,1
21603,UTPL_A0302,,Common Gallinule,,,,,,,,61,288,1
21604,UTPL_A0124,Thryothorus nigricapillus,Bay Wren,,,,,,,,78,125,4
